,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,Recall
y:label=0,0,0,0,0,0,0,0,0,0
y:label=1,0,20,0,0,0,0,0,0,1
y:label=2,0,0,20,0,0,0,0,0,1
y:label=3,0,0,0,20,0,0,0,0,1
y:label=4,0,0,0,0,20,0,0,0,1
y:label=5,0,0,0,0,0,20,0,0,1
y:label=6,0,0,0,0,0,0,20,0,1
y:label=7,0,0,0,0,0,0,0,20,1
Precision,0,1,1,1,1,1,1,1,
F-Measures,0,1,1,1,1,1,1,1,
,,,,,,,,,
Accuracy,1,,,,,,,,
Avg.Precision,0.875,,,,,,,,
Avg.Recall,0.875,,,,,,,,
Avg.F-Measures,0.875,,,,,,,,
